dataset,model,MAE,MSE,RMSE,R2,largest_error_1,largest_error_2,largest_error_3
1,Linear Regression,2051.979016926599,16774201.490714531,4095.6320013783625,0.7309996227702495,101472.34216107588,89876.74595772321,82157.93593068753
1,Decision Tree,1332.6746599101139,9175622.849043325,3029.1290578387916,0.852854634596056,90701.0,83295.0,62792.0
1,Random Forest,1034.9134199413634,5025864.188661901,2241.8439260264977,0.9194024607726377,84496.15,51321.58,44052.39
1,Gradient Boosting,1517.108119893177,7584155.817581402,2753.934606627652,0.8783762805622708,84422.61271670449,49614.8994230748,37939.21037588539
2,Linear Regression,1968.3976001633916,13437172.536397405,3665.6749087170024,0.7645184314411592,82384.89696146795,78278.54569288198,75847.11730153112
2,Decision Tree,1258.4652513621877,7906067.83129148,2811.7730760663244,0.8614490325995134,83295.0,80300.0,75705.0
2,Random Forest,992.1675475211365,4572165.110937222,2138.2621707679396,0.9198744669596866,61662.09,50350.41,46526.64
2,Gradient Boosting,1367.8776679652894,6026249.55247571,2454.8420626337065,0.894392165219272,61970.72223612974,51864.173723180276,44135.08261900814
3,Linear Regression,2014.6857514053795,15531532.133224513,3941.0064873360097,0.724703677234261,94590.41905969869,83466.02079992933,64501.59171932073
3,Decision Tree,1280.7974606399187,7935897.187963434,2817.0724498960676,0.8593362654145487,83295.0,62792.0,62000.0
3,Random Forest,975.4773280353413,3748301.4896181733,1936.0530699384697,0.9335613764400079,47701.55,34547.740000000005,29558.5
3,Gradient Boosting,1373.6486385448188,5923915.076407853,2433.909422391855,0.8949986374220619,56160.340766751586,50346.3808522833,39216.16929841331
